m6-b7-l6-hard-witness-positive-gain-coordinate-residual-cover-v1
coordinate-manifest-bytes	13557
coordinate-manifest-sha256	c1ea02ae0127713063efed74eeae84e9c6f22f800b0c6899d293b1a962028b49
coordinate-hash-ledger-bytes	25213
coordinate-hash-ledger-sha256	aec75e12d82a9ad829dd64b8bce54687f493dbe0d73d5d7665eb965d97f905b6
coordinate-scout-bytes	92091
coordinate-scout-sha256	1ad3075ef0386c8bc8afec26b5a2cd392c140d17d8a69daa025063f4e8f3efab
coordinate-certificate-ledger-bytes	9990
coordinate-certificate-ledger-sha256	19d3d8e1a3f5e11545ae6095b1cc74b674512d59b12f2212d19c34fbb9b976f3
witness-sources	117
ancestor-certificates	3
coordinate-certificates	8
unresolved-sources	114
unresolved-source-incidences	1036
cover-leaves	153
cover-memberships	1382
selection	retain one coordinate representative when unit/structural implication proves it source-equivalent; otherwise retain every coordinate child except a child closed by its own LRAT
certificate-semantics	coordinate LRAT closes only its child; every uncertified sibling remains in the residual source disjunction
normalization	only exact fixed-unit coordinate-ALO reduction; B-only ALOs may be reduced
columns	cover-ordinal,key,coordinate-ordinal,source-leaf-ordinal,source-key,disposition,deleted,witness,alo-midpoints,alo-width,parents,variables,clauses
000	o00-w00-c17	000	000	o00-w00	b-reduced	17	13	14,15	2	6	23622	143667
001	o01-w00-c16	001	001	o01-w00	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
002	o01-w00-c17	002	001	o01-w00	b-reduced	17	9	14,15	2	6	23622	143668
003	o01-w01-c16	003	002	o01-w01	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
004	o01-w01-c17	004	002	o01-w01	b-reduced	17	14	9,15	2	6	23622	143668
005	o01-w02-c16	005	003	o01-w02	b-reduced	16	14	10,11,12,13,15	5	6	23622	143668
006	o01-w02-c17	006	003	o01-w02	b-reduced	17	9	14,15	2	6	23622	143668
007	o01-w03-c16	007	004	o01-w03	b-reduced	16	14	10,11,12,13,15	5	6	23622	143668
008	o01-w03-c17	008	004	o01-w03	b-reduced	17	14	9,15	2	6	23622	143668
009	o01-w04-c16	009	005	o01-w04	b-reduced	16	14	10,11,12,13,15	5	6	23622	143668
010	o01-w04-c17	010	005	o01-w04	b-reduced	17	15	9,14	2	6	23622	143668
011	o02-w00-c16	011	006	o02-w00	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
012	o02-w00-c17	012	006	o02-w00	b-reduced	17	13	14,15	2	6	23622	143668
013	o02-w01-c16	013	007	o02-w01	b-reduced	16	13	10,11,12,14,15	5	6	23622	143668
014	o02-w01-c17	014	007	o02-w01	b-reduced	17	13	14,15	2	6	23622	143668
015	o02-w02-c16	015	008	o02-w02	b-reduced	16	13	10,11,12,14,15	5	6	23622	143668
016	o02-w02-c17	016	008	o02-w02	b-reduced	17	14	13,15	2	6	23622	143668
017	o03-w00-c17	018	009	o03-w00	structural	17	14	16	1	6	23622	143668
018	o03-w01-c16	019	010	o03-w01	b-reduced	16	9	10,11,12,13,14,15	6	6	23622	143668
019	o03-w02-c17	022	011	o03-w02	structural	17	14	16	1	6	23622	143668
020	o03-w03-c17	024	012	o03-w03	structural	17	15	16	1	6	23622	143668
021	o03-w04-c16	025	013	o03-w04	b-reduced	16	14	9,10,11,12,13,15	6	6	23622	143668
022	o04-w00-c17	027	014	o04-w00	b-reduced	17	13	14,15	2	6	23622	143667
023	o05-w00-c16	028	015	o05-w00	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
024	o05-w00-c17	029	015	o05-w00	b-reduced	17	9	14,15	2	6	23622	143668
025	o05-w01-c16	030	016	o05-w01	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
026	o05-w01-c17	031	016	o05-w01	b-reduced	17	14	9,15	2	6	23622	143668
027	o05-w02-c16	032	017	o05-w02	structural	16	14	17	1	6	23622	143668
028	o05-w03-c16	034	018	o05-w03	structural	16	14	17	1	6	23622	143668
029	o05-w04-c16	036	019	o05-w04	structural	16	14	17	1	6	23622	143668
030	o05-w05-c16	038	020	o05-w05	tautological	16	17	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	16	6	23622	143668
031	o05-w06-c16	040	021	o05-w06	tautological	16	17	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	16	6	23622	143668
032	o06-w00-c16	042	022	o06-w00	b-reduced	16	10	11,12,13,14,15	5	6	23622	143668
033	o06-w00-c17	043	022	o06-w00	b-reduced	17	13	14,15	2	6	23622	143668
034	o06-w01-c16	044	023	o06-w01	structural	16	13	17	1	6	23622	143668
035	o06-w02-c16	046	024	o06-w02	structural	16	13	17	1	6	23622	143668
036	o06-w03-c16	048	025	o06-w03	tautological	16	17	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	16	6	23622	143668
