m6-b7-l6-hard-witness-positive-gain-coordinate-v1
positive-gain-manifest-bytes	7616
positive-gain-manifest-sha256	eb0021165e41b9912c92abde3f4b26890075b0faafbabb0ced579ad6bb372ab8
positive-gain-hash-ledger-bytes	11695
positive-gain-hash-ledger-sha256	57a146838c09dca90e83e1ca19a504967199f3fde15f330769f8867a2068552e
positive-gain-scout-bytes	53533
positive-gain-scout-sha256	f5ed09b7134a3315a37d20db786fdd7d1675b1edc0ab6ef0969655fb7a6802f7
positive-gain-certificate-ledger-bytes	3687
positive-gain-certificate-ledger-sha256	ab44c6fccf70dc5bae6b30b82f9e3983fe9c065b82d8301db3fc76bac13e5b59
source-timeout-leaves	114
leaves	219
parent-incidence-memberships	1990
children-per-source	one per selected deletion coordinate (one or two)
coordinate-alo-width	16
existential-coverage	for source OR_i P_i, child i is P_i; OR_i child_i equals source
overlap	allowed exactly when two-coordinate source has both P_0 and P_1 true
not-a-partition	two-coordinate children may share models; coverage is existential
columns	leaf-ordinal,key,source-leaf-ordinal,source-key,coordinate,deleted,witness,coordinate-path-literals,alo-clauses,parents,variables,clauses
000	o00-w00-c17	000	o00-w00	0	17	13	16	1	6	23622	143667
001	o01-w00-c16	001	o01-w00	0	16	10	16	1	6	23622	143668
002	o01-w00-c17	001	o01-w00	1	17	9	16	1	6	23622	143668
003	o01-w01-c16	002	o01-w01	0	16	10	16	1	6	23622	143668
004	o01-w01-c17	002	o01-w01	1	17	14	16	1	6	23622	143668
005	o01-w02-c16	003	o01-w02	0	16	14	16	1	6	23622	143668
006	o01-w02-c17	003	o01-w02	1	17	9	16	1	6	23622	143668
007	o01-w03-c16	004	o01-w03	0	16	14	16	1	6	23622	143668
008	o01-w03-c17	004	o01-w03	1	17	14	16	1	6	23622	143668
009	o01-w04-c16	005	o01-w04	0	16	14	16	1	6	23622	143668
010	o01-w04-c17	005	o01-w04	1	17	15	16	1	6	23622	143668
011	o02-w00-c16	006	o02-w00	0	16	10	16	1	6	23622	143668
012	o02-w00-c17	006	o02-w00	1	17	13	16	1	6	23622	143668
013	o02-w01-c16	007	o02-w01	0	16	13	16	1	6	23622	143668
014	o02-w01-c17	007	o02-w01	1	17	13	16	1	6	23622	143668
015	o02-w02-c16	008	o02-w02	0	16	13	16	1	6	23622	143668
016	o02-w02-c17	008	o02-w02	1	17	14	16	1	6	23622	143668
017	o03-w00-c16	009	o03-w00	0	16	9	16	1	6	23622	143668
018	o03-w00-c17	009	o03-w00	1	17	14	16	1	6	23622	143668
019	o03-w01-c16	010	o03-w01	0	16	9	16	1	6	23622	143668
020	o03-w01-c17	010	o03-w01	1	17	16	16	1	6	23622	143668
021	o03-w02-c16	011	o03-w02	0	16	14	16	1	6	23622	143668
022	o03-w02-c17	011	o03-w02	1	17	14	16	1	6	23622	143668
023	o03-w03-c16	012	o03-w03	0	16	14	16	1	6	23622	143668
024	o03-w03-c17	012	o03-w03	1	17	15	16	1	6	23622	143668
025	o03-w04-c16	013	o03-w04	0	16	14	16	1	6	23622	143668
026	o03-w04-c17	013	o03-w04	1	17	16	16	1	6	23622	143668
027	o04-w00-c17	014	o04-w00	0	17	13	16	1	6	23622	143667
028	o05-w00-c16	015	o05-w00	0	16	10	16	1	6	23622	143668
029	o05-w00-c17	015	o05-w00	1	17	9	16	1	6	23622	143668
030	o05-w01-c16	016	o05-w01	0	16	10	16	1	6	23622	143668
031	o05-w01-c17	016	o05-w01	1	17	14	16	1	6	23622	143668
032	o05-w02-c16	017	o05-w02	0	16	14	16	1	6	23622	143668
033	o05-w02-c17	017	o05-w02	1	17	9	16	1	6	23622	143668
034	o05-w03-c16	018	o05-w03	0	16	14	16	1	6	23622	143668
035	o05-w03-c17	018	o05-w03	1	17	14	16	1	6	23622	143668
036	o05-w04-c16	019	o05-w04	0	16	14	16	1	6	23622	143668
037	o05-w04-c17	019	o05-w04	1	17	15	16	1	6	23622	143668
038	o05-w05-c16	020	o05-w05	0	16	17	16	1	6	23622	143668
039	o05-w05-c17	020	o05-w05	1	17	9	16	1	6	23622	143668
040	o05-w06-c16	021	o05-w06	0	16	17	16	1	6	23622	143668
041	o05-w06-c17	021	o05-w06	1	17	14	16	1	6	23622	143668
042	o06-w00-c16	022	o06-w00	0	16	10	16	1	6	23622	143668
043	o06-w00-c17	022	o06-w00	1	17	13	16	1	6	23622	143668
044	o06-w01-c16	023	o06-w01	0	16	13	16	1	6	23622	143668
045	o06-w01-c17	023	o06-w01	1	17	13	16	1	6	23622	143668
046	o06-w02-c16	024	o06-w02	0	16	13	16	1	6	23622	143668
047	o06-w02-c17	024	o06-w02	1	17	14	16	1	6	23622	143668
048	o06-w03-c16	025	o06-w03	0	16	17	16	1	6	23622	143668
049	o06-w03-c17	025	o06-w03	1	17	13	16	1	6	23622	143668
050	o08-w00-c17	026	o08-w00	0	17	12	16	1	10	23626	144279
051	o11-w00-c16	027	o11-w00	0	16	11	16	1	10	23626	144279
052	o12-w00-c16	028	o12-w00	0	16	11	16	1	10	23626	144280
053	o12-w00-c17	028	o12-w00	1	17	9	16	1	10	23626	144280
054	o12-w01-c16	029	o12-w01	0	16	11	16	1	10	23626	144280
055	o12-w01-c17	029	o12-w01	1	17	14	16	1	10	23626	144280
056	o12-w02-c16	030	o12-w02	0	16	14	16	1	10	23626	144280
057	o12-w02-c17	030	o12-w02	1	17	9	16	1	10	23626	144280
058	o12-w03-c16	031	o12-w03	0	16	14	16	1	10	23626	144280
059	o12-w03-c17	031	o12-w03	1	17	14	16	1	10	23626	144280
060	o12-w04-c16	032	o12-w04	0	16	14	16	1	10	23626	144280
061	o12-w04-c17	032	o12-w04	1	17	15	16	1	10	23626	144280
062	o13-w00-c16	033	o13-w00	0	16	11	16	1	10	23626	144280
063	o13-w00-c17	033	o13-w00	1	17	10	16	1	10	23626	144280
064	o13-w01-c16	034	o13-w01	0	16	11	16	1	10	23626	144280
065	o13-w01-c17	034	o13-w01	1	17	13	16	1	10	23626	144280
066	o13-w02-c16	035	o13-w02	0	16	13	16	1	10	23626	144280
067	o13-w02-c17	035	o13-w02	1	17	10	16	1	10	23626	144280
068	o13-w03-c16	036	o13-w03	0	16	13	16	1	10	23626	144280
069	o13-w03-c17	036	o13-w03	1	17	13	16	1	10	23626	144280
070	o13-w04-c16	037	o13-w04	0	16	13	16	1	10	23626	144280
071	o13-w04-c17	037	o13-w04	1	17	14	16	1	10	23626	144280
072	o14-w00-c16	038	o14-w00	0	16	11	16	1	10	23626	144280
073	o14-w00-c17	038	o14-w00	1	17	12	16	1	10	23626	144280
074	o14-w01-c16	039	o14-w01	0	16	12	16	1	10	23626	144280
075	o14-w01-c17	039	o14-w01	1	17	12	16	1	10	23626	144280
076	o14-w02-c16	040	o14-w02	0	16	12	16	1	10	23626	144280
077	o14-w02-c17	040	o14-w02	1	17	13	16	1	10	23626	144280
